dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003811,14.104168,0.005000,0.200000,4.000000,80.000000,0.000939
0.050000,0.015592,14.104197,0.016781,0.235625,0.712497,-65.750062,0.003854
0.050000,0.035189,14.104320,0.036379,0.391951,3.126529,48.280647,0.008747
0.050000,0.062544,14.104654,0.063736,0.547136,3.103690,-0.456786,0.015669
0.050000,0.097572,14.105360,0.098771,0.700709,3.071467,-0.644453,0.024693
0.050000,0.140163,14.106650,0.141381,0.852193,3.029678,-0.835788,0.035914
0.050000,0.190172,14.108784,0.191436,1.001103,2.978190,-1.029755,0.049449
0.050000,0.247425,14.112074,0.248784,1.146954,2.917026,-1.223278,0.065435
0.050000,0.311710,14.116884,0.313248,1.289280,2.846513,-1.410272,0.084033
0.050000,0.382773,14.123631,0.384630,1.427654,2.767497,-1.580305,0.105421
0.050000,0.456653,14.132310,0.459018,1.487754,1.201990,-31.310144,0.128616
0.050000,0.529557,14.142619,0.532648,1.472598,-0.303124,-30.102282,0.152497
0.050000,0.601464,14.154570,0.605541,1.457860,-0.294751,0.167454,0.177045
0.050000,0.672356,14.168172,0.677726,1.443704,-0.283124,0.232542,0.202234
0.050000,0.742223,14.183434,0.749241,1.430303,-0.268024,0.302009,0.228030
0.050000,0.811064,14.200364,0.820133,1.417838,-0.249295,0.374571,0.254390
0.050000,0.878883,14.218971,0.890458,1.406495,-0.226868,0.448540,0.281264
0.050000,0.945692,14.239263,0.960281,1.396456,-0.200772,0.521913,0.308592
0.050000,1.011511,14.261251,1.029676,1.387898,-0.171152,0.592405,0.336308
0.050000,1.076367,14.284946,1.098725,1.380985,-0.138273,0.657575,0.364336
0.050000,1.140292,14.310364,1.167518,1.375858,-0.102526,0.714951,0.392597
0.050000,1.203324,14.337519,1.236150,1.372638,-0.064417,0.762183,0.421004
0.050000,1.265501,14.366430,1.304720,1.371410,-0.024555,0.797241,0.449467
0.050000,1.326868,14.397116,1.373331,1.372228,0.016372,0.818534,0.477892
0.050000,1.387466,14.429599,1.442087,1.375110,0.057626,0.825073,0.506187
0.050000,1.447339,14.463900,1.511089,1.380032,0.098453,0.816542,0.534259
0.050000,1.506524,14.500039,1.580435,1.386938,0.138119,0.793330,0.562018
0.050000,1.565060,14.538036,1.650222,1.395736,0.175944,0.756495,0.589379
0.050000,1.622979,14.577906,1.720537,1.406302,0.211328,0.707687,0.616261
0.050000,1.680309,14.619661,1.791462,1.418491,0.243778,0.648996,0.642592
0.050000,1.737074,14.663311,1.863069,1.432137,0.272919,0.582807,0.668305
0.050000,1.793293,14.708857,1.935422,1.447062,0.298500,0.511622,0.693342
0.050000,1.848980,14.756296,2.008576,1.463082,0.320395,0.437901,0.717654
0.050000,1.904147,14.805618,2.082576,1.480011,0.338591,0.363929,0.741199
0.050000,1.958803,14.856807,2.157460,1.497670,0.353177,0.291711,0.763944
0.050000,2.012952,14.909841,2.233254,1.515886,0.364322,0.222907,0.785865
0.050000,2.066599,14.964693,2.309979,1.534499,0.372262,0.158803,0.806943
0.050000,2.119748,15.021328,2.387647,1.553363,0.377278,0.100313,0.827167
0.050000,2.172401,15.079709,2.466265,1.572347,0.379678,0.048004,0.846531
0.050000,2.224562,15.139794,2.545832,1.591336,0.379785,0.002139,0.865036
0.050000,2.276234,15.201535,2.626343,1.610232,0.377921,-0.037276,0.882685
0.050000,2.327424,15.264886,2.707791,1.628952,0.374400,-0.070434,0.899486
0.050000,2.378139,15.329795,2.790162,1.647428,0.369516,-0.097673,0.915451
0.050000,2.428386,15.396209,2.873442,1.665605,0.363544,-0.119436,0.930592
0.050000,2.478176,15.464075,2.957615,1.683442,0.356733,-0.136223,0.944926
0.050000,2.527523,15.533340,3.042660,1.700907,0.349305,-0.148564,0.958470
0.050000,2.576440,15.603950,3.128559,1.717980,0.341455,-0.156989,0.971240
0.050000,2.624945,15.675851,3.215291,1.734648,0.333355,-0.162012,0.983255
0.050000,2.673056,15.748991,3.302836,1.750905,0.325149,-0.164113,0.994535
0.050000,2.720794,15.823319,3.391174,1.766753,0.316962,-0.163739,1.005096
0.050000,2.768181,15.898785,3.480284,1.782198,0.308898,-0.161288,1.014959
0.050000,2.815241,15.975339,3.570147,1.797250,0.301042,-0.157117,1.024140
0.050000,2.862002,16.052935,3.660743,1.811923,0.293465,-0.151536,1.032656
0.050000,2.908489,16.131527,3.752054,1.826235,0.286224,-0.144813,1.040524
0.050000,2.954733,16.211072,3.844065,1.840203,0.279365,-0.137181,1.047760
0.050000,3.000764,16.291528,3.936757,1.853849,0.272924,-0.128830,1.054378
0.050000,3.046613,16.372853,4.030117,1.867195,0.266928,-0.119922,1.060392
0.050000,3.092315,16.455011,4.124130,1.880265,0.261398,-0.110591,1.065814
0.050000,3.137903,16.537963,4.218784,1.893083,0.256351,-0.100944,1.070655
0.050000,3.183413,16.621676,4.314068,1.905673,0.251798,-0.091066,1.074927
0.050000,3.228883,16.706115,4.409971,1.918060,0.247746,-0.081028,1.078637
0.050000,3.274350,16.791247,4.506484,1.930270,0.244202,-0.070879,1.081795
0.050000,3.319854,16.877044,4.603601,1.942329,0.241169,-0.060660,1.084406
0.050000,3.365435,16.963474,4.701314,1.954261,0.238649,-0.050398,1.086477
0.050000,3.411136,17.050510,4.799619,1.966093,0.236644,-0.040113,1.088013
0.050000,3.456998,17.138125,4.898511,1.977851,0.235153,-0.029818,1.089016
0.050000,3.503067,17.226292,4.997989,1.989560,0.234177,-0.019519,1.089488
0.050000,3.549389,17.314987,5.098051,2.001246,0.233716,-0.009219,1.089432
0.050000,3.596009,17.404185,5.198698,2.012934,0.233770,0.001079,1.088846
0.050000,3.642978,17.493863,5.299931,2.024651,0.234339,0.011378,1.087730
0.050000,3.690343,17.583996,5.401752,2.036422,0.235423,0.021677,1.086081
0.050000,3.738159,17.674562,5.504165,2.048273,0.237021,0.031975,1.083895
0.050000,3.786477,17.765539,5.607177,2.060230,0.239135,0.042267,1.081167
0.050000,3.835353,17.856903,5.710793,2.072318,0.241762,0.052547,1.077893
0.050000,3.884844,17.948631,5.815021,2.084563,0.244902,0.062800,1.074063
0.050000,3.935009,18.040701,5.919871,2.096991,0.248552,0.073005,1.069671
0.050000,3.985909,18.133089,6.025352,2.109626,0.252709,0.083130,1.064707
0.050000,4.037607,18.225770,6.131477,2.122495,0.257366,0.093137,1.059160
