dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.005884,11.895836,0.005000,0.200000,4.000000,80.000000,0.000939
0.050000,0.024103,11.895880,0.023219,0.364375,3.287499,-14.250021,0.003854
0.050000,0.054505,11.896071,0.053621,0.608048,4.873455,31.719117,0.008747
0.050000,0.097144,11.896592,0.096264,0.852861,4.896274,0.456386,0.015669
0.050000,0.152097,11.897700,0.151228,1.099285,4.928467,0.643850,0.024693
0.050000,0.219456,11.899741,0.218618,1.347795,4.970214,0.834941,0.035914
0.050000,0.299327,11.903151,0.298562,1.598878,5.021643,1.028597,0.049449
0.050000,0.391826,11.908467,0.391213,1.853014,5.082731,1.221758,0.065435
0.050000,0.497065,11.916343,0.496746,2.110671,5.153147,1.408308,0.084033
0.050000,0.615147,11.927558,0.615360,2.372273,5.232034,1.577736,0.105421
0.050000,0.739897,11.942217,0.740968,2.512156,2.797665,-48.687371,0.128616
0.050000,0.865017,11.959914,0.867333,2.527307,0.303016,-49.892977,0.152497
0.050000,0.990398,11.980757,0.994435,2.542039,0.294643,-0.167462,0.177045
0.050000,1.115917,12.004844,1.122245,2.556190,0.283018,-0.232501,0.202234
0.050000,1.241436,12.032267,1.250724,2.569586,0.267920,-0.301952,0.228030
0.050000,1.366802,12.063102,1.379826,2.582046,0.249197,-0.374470,0.254390
0.050000,1.491849,12.097413,1.509496,2.593385,0.226777,-0.448403,0.281264
0.050000,1.616401,12.135247,1.639667,2.603420,0.200690,-0.521730,0.308592
0.050000,1.740270,12.176630,1.770265,2.611974,0.171081,-0.592186,0.336308
0.050000,1.863261,12.221568,1.901209,2.618884,0.138215,-0.657318,0.364336
0.050000,1.985178,12.270044,2.032410,2.624008,0.102482,-0.714653,0.392597
0.050000,2.105819,12.322020,2.163771,2.627228,0.064389,-0.761868,0.421004
0.050000,2.224989,12.377430,2.295194,2.628455,0.024544,-0.796900,0.449467
0.050000,2.342499,12.436191,2.426576,2.627637,-0.016365,-0.818182,0.477892
0.050000,2.458167,12.498192,2.557814,2.624757,-0.057601,-0.824720,0.506187
0.050000,2.571829,12.563306,2.688806,2.619836,-0.098411,-0.816198,0.534259
0.050000,2.683334,12.631389,2.819452,2.612933,-0.138061,-0.793002,0.562018
0.050000,2.792551,12.702279,2.949659,2.604140,-0.175871,-0.756197,0.589379
0.050000,2.899370,12.775806,3.079338,2.593578,-0.211242,-0.707419,0.616261
0.050000,3.003703,12.851791,3.208408,2.581394,-0.243680,-0.648769,0.642592
0.050000,3.105482,12.930050,3.336795,2.567753,-0.272811,-0.582622,0.668305
0.050000,3.204663,13.010396,3.464437,2.552834,-0.298385,-0.511479,0.693342
0.050000,3.301221,13.092646,3.591278,2.536820,-0.320275,-0.437801,0.717654
0.050000,3.395153,13.176619,3.717273,2.519897,-0.338469,-0.363870,0.741199
0.050000,3.486472,13.262141,3.842385,2.502244,-0.353053,-0.291689,0.763944
0.050000,3.575208,13.349043,3.966587,2.484034,-0.364199,-0.222919,0.785865
0.050000,3.661404,13.437168,4.089858,2.465427,-0.372141,-0.158843,0.806943
0.050000,3.745117,13.526367,4.212187,2.446569,-0.377160,-0.100378,0.827167
0.050000,3.826413,13.616500,4.333566,2.427591,-0.379565,-0.048088,0.846531
0.050000,3.905365,13.707440,4.453996,2.408607,-0.379677,-0.002236,0.865036
0.050000,3.982054,13.799068,4.573482,2.389716,-0.377818,0.037169,0.882685
0.050000,4.056565,13.891275,4.692032,2.371001,-0.374302,0.070318,0.899486
0.050000,4.128987,13.983963,4.809659,2.352529,-0.369424,0.097554,0.915451
0.050000,4.199411,14.077041,4.926377,2.334357,-0.363459,0.119314,0.930592
0.050000,4.267928,14.170428,5.042203,2.316524,-0.356654,0.136104,0.944926
0.050000,4.334630,14.264050,5.157156,2.299062,-0.349231,0.148447,0.958470
0.050000,4.399609,14.357840,5.271255,2.281993,-0.341387,0.156876,0.971240
0.050000,4.462954,14.451737,5.384522,2.265328,-0.333292,0.161902,0.983255
0.050000,4.524755,14.545686,5.496976,2.249074,-0.325092,0.164011,0.994535
0.050000,4.585098,14.639638,5.608637,2.233228,-0.316910,0.163641,1.005096
0.050000,4.644069,14.733547,5.719526,2.217786,-0.308850,0.161196,1.014959
0.050000,4.701748,14.827372,5.829663,2.202736,-0.300999,0.157029,1.024140
0.050000,4.758216,14.921076,5.939066,2.188065,-0.293426,0.151454,1.032656
0.050000,4.813551,15.014623,6.047754,2.173755,-0.286189,0.144739,1.040524
0.050000,4.867827,15.107982,6.155743,2.159788,-0.279333,0.137109,1.047760
0.050000,4.921116,15.201123,6.263051,2.146144,-0.272895,0.128764,1.054378
0.050000,4.973488,15.294016,6.369691,2.132799,-0.266902,0.119860,1.060392
0.050000,5.025010,15.386637,6.475677,2.119730,-0.261376,0.110533,1.065814
0.050000,5.075748,15.478959,6.581023,2.106913,-0.256331,0.100889,1.070655
0.050000,5.125764,15.570958,6.685739,2.094324,-0.251780,0.091017,1.074927
0.050000,5.175119,15.662611,6.789836,2.081938,-0.247731,0.080979,1.078637
0.050000,5.223871,15.753895,6.893322,2.069728,-0.244190,0.070834,1.081795
0.050000,5.272078,15.844786,6.996206,2.057670,-0.241159,0.060617,1.084406
0.050000,5.319793,15.935261,7.098493,2.045738,-0.238641,0.050357,1.086477
0.050000,5.367070,16.025299,7.200188,2.033906,-0.236637,0.040073,1.088013
0.050000,5.413960,16.114876,7.301295,2.022149,-0.235148,0.029779,1.089016
0.050000,5.460512,16.203969,7.401817,2.010440,-0.234174,0.019481,1.089488
0.050000,5.506776,16.292554,7.501755,1.998754,-0.233715,0.009182,1.089432
0.050000,5.552797,16.380605,7.601108,1.987066,-0.233771,-0.001117,1.088846
0.050000,5.598622,16.468099,7.699876,1.975349,-0.234342,-0.011416,1.087730
0.050000,5.644293,16.555008,7.798055,1.963577,-0.235428,-0.021715,1.086081
0.050000,5.689855,16.641306,7.895641,1.951726,-0.237028,-0.032013,1.083895
0.050000,5.735347,16.726963,7.992629,1.939769,-0.239144,-0.042308,1.081167
0.050000,5.780812,16.811950,8.089013,1.927680,-0.241773,-0.052589,1.077893
0.050000,5.826287,16.896237,8.184785,1.915434,-0.244915,-0.062843,1.074063
0.050000,5.871811,16.979790,8.279935,1.903006,-0.248568,-0.073050,1.069671
0.050000,5.917420,17.062576,8.374454,1.890370,-0.252727,-0.083180,1.064707
0.050000,5.963150,17.144560,8.468329,1.877500,-0.257386,-0.093188,1.059160
0.050000,6.009036,17.225703,8.561548,1.864373,-0.262537,-0.103023,1.053018
0.050000,6.055109,17.305968,8.654096,1.850965,-0.268168,-0.112610,1.046270
0.050000,6.101402,17.385313,8.745958,1.837252,-0.274261,-0.121861,1.038900
0.050000,6.147946,17.463697,8.837119,1.823212,-0.280794,-0.130663,1.030895
0.050000,6.194768,17.541074,8.927560,1.808825,-0.287738,-0.138874,1.022238
0.050000,6.241896,17.617400,9.017264,1.794073,-0.295054,-0.146331,1.012913
0.050000,6.289356,17.692627,9.106211,1.778938,-0.302696,-0.152830,1.002903
0.050000,6.337171,17.766706,9.194381,1.763408,-0.310602,-0.158134,0.992190
0.050000,6.385365,17.839587,9.281755,1.747473,-0.318701,-0.161967,0.980755
0.050000,6.433956,17.911217,9.368311,1.731128,-0.326901,-0.164005,0.968581
0.050000,6.482963,17.981545,9.454030,1.714373,-0.335096,-0.163889,0.955647
0.050000,6.532404,18.050516,9.538891,1.697215,-0.343156,-0.161201,0.941937
0.050000,6.582290,18.118077,9.622874,1.679669,-0.350930,-0.155495,0.927432
0.050000,6.632636,18.184175,9.705962,1.661756,-0.358244,-0.146279,0.912116
0.050000,6.683451,18.248755,9.788138,1.643512,-0.364896,-0.133034,0.895974
0.050000,6.734744,18.311767,9.869387,1.624979,-0.370657,-0.115230,0.878993
0.050000,6.786520,18.373159,9.949697,1.606215,-0.375275,-0.092341,0.861162
0.050000,6.838785,18.432884,10.029062,1.587292,-0.378468,-0.063872,0.842474
0.050000,6.891544,18.490897,10.107477,1.568295,-0.379938,-0.029406,0.822926
0.050000,6.944798,18.547155,10.184943,1.549326,-0.379370,0.011374,0.802520
0.050000,6.998553,18.601621,10.261468,1.530504,-0.376439,0.058624,0.781261
0.050000,7.052809,18.654264,10.337066,1.511963,-0.370824,0.112281,0.759162
0.050000,7.107573,18.705057,10.411759,1.493852,-0.362223,0.172027,0.736244
0.050000,7.162851,18.753978,10.485576,1.476334,-0.350362,0.237222,0.712532
0.050000,7.218650,18.801014,10.558555,1.459583,-0.335018,0.306875,0.688062
0.050000,7.274984,18.846156,10.630744,1.443781,-0.316037,0.379619,0.662877
0.050000,7.331867,18.889401,10.702199,1.429113,-0.293351,0.453716,0.637027
0.050000,7.389321,18.930754,10.772988,1.415764,-0.266997,0.527095,0.610573
0.050000,7.447369,18.970223,10.843183,1.403907,-0.237125,0.597426,0.583582
0.050000,7.506041,19.007822,10.912868,1.393707,-0.204014,0.662224,0.556129
0.050000,7.565370,19.043568,10.982134,1.385303,-0.168064,0.719000,0.528296
0.050000,7.625393,19.077479,11.051074,1.378814,-0.129793,0.765419,0.500169
0.050000,7.686152,19.109577,11.119790,1.374323,-0.089820,0.799466,0.471838
0.050000,7.747688,19.139884,11.188384,1.371881,-0.048839,0.819617,0.443397
0.050000,7.810044,19.168418,11.256959,1.371501,-0.007592,0.824943,0.414939
0.050000,7.873263,19.195201,11.325617,1.373160,0.033168,0.815208,0.386556
0.050000,7.937383,19.220250,11.394457,1.376795,0.072712,0.790875,0.358337
0.050000,8.002442,19.243581,11.463573,1.382314,0.110366,0.753069,0.330369
0.050000,8.068471,19.265206,11.533052,1.389591,0.145540,0.703492,0.302729
0.050000,8.135494,19.285138,11.602976,1.398478,0.177753,0.644248,0.275493
0.050000,8.203530,19.303386,11.673417,1.408810,0.206639,0.577737,0.248724
0.050000,8.272589,19.319960,11.744437,1.420408,0.231961,0.506426,0.222480
0.050000,8.342676,19.334867,11.816092,1.433088,0.253598,0.432746,0.196810
0.050000,8.413785,19.348116,11.888425,1.446665,0.271544,0.358918,0.171755
0.050000,8.485906,19.359717,11.961473,1.460960,0.285888,0.286885,0.147348
0.050000,8.559021,19.369677,12.035263,1.475800,0.296801,0.218256,0.123612
0.050000,8.632304,19.377930,12.109010,1.474933,-0.017330,-6.282613,0.100809
0.050000,8.701926,19.384237,12.178917,1.398145,-1.535773,-30.368861,0.080030
0.050000,8.764713,19.388700,12.241862,1.258904,-2.784815,-24.980844,0.062001
0.050000,8.820421,19.391725,12.297652,1.115799,-2.862098,-1.545671,0.046549
0.050000,8.868846,19.393663,12.346115,0.969267,-2.930649,-1.371012,0.033518
0.050000,8.909818,19.394815,12.387104,0.819779,-2.989750,-1.182019,0.022774
0.050000,8.943204,19.395432,12.420495,0.667821,-3.039152,-0.988048,0.014205
0.050000,8.968896,19.395714,12.446189,0.513878,-3.078878,-0.794509,0.007722
0.050000,8.986817,19.395812,12.464110,0.358424,-3.109074,-0.603915,0.003256
0.050000,8.996913,19.395832,12.474207,0.201928,-3.129925,-0.417026,0.000760
0.050000,9.000000,19.395833,12.477293,0.061735,-2.803849,6.521524,0.000000
0.050000,9.000000,19.395833,12.477293,0.000000,-1.234703,31.382907,0.000000
