dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.005772,14.104164,0.004808,0.192308,3.846154,76.923077,6.282214
0.050000,0.023489,14.104120,0.022525,0.354338,3.240615,-12.110768,6.279231
0.050000,0.053026,14.103930,0.052062,0.590745,4.728135,29.750381,6.274251
0.050000,0.094393,14.103416,0.093432,0.827405,4.733191,0.101137,6.267262
0.050000,0.147601,14.102329,0.146651,1.064380,4.739502,0.126217,6.258251
0.050000,0.212655,14.100347,0.211736,1.301693,4.746260,0.135151,6.247202
0.050000,0.289551,14.097074,0.288701,1.539312,4.752376,0.122327,6.234100
0.050000,0.378265,14.092042,0.377558,1.777134,4.756455,0.081577,6.218938
0.050000,0.478747,14.084708,0.478307,2.014973,4.756771,0.006312,6.201713
0.050000,0.590906,14.074461,0.590934,2.252536,4.751264,-0.110141,6.182438
0.050000,0.714606,14.060624,0.715404,2.489414,4.737565,-0.273969,6.161145
0.050000,0.849643,14.042464,0.851658,2.725068,4.713066,-0.489985,6.137888
0.050000,0.995745,14.019205,0.999599,2.958820,4.675042,-0.760482,6.112753
0.050000,1.146761,13.991193,1.153191,3.071854,2.260688,-48.287067,6.086854
0.050000,1.296652,13.959380,1.306421,3.064593,-0.145217,-48.118110,6.061284
0.050000,1.445247,13.923879,1.459198,3.055535,-0.181165,-0.718963,6.036124
0.050000,1.592391,13.884825,1.611437,3.044778,-0.215142,-0.679526,6.011451
0.050000,1.737947,13.842365,1.763059,3.032443,-0.246696,-0.631094,5.987337
0.050000,1.881794,13.796661,1.913992,3.018669,-0.275476,-0.575585,5.963847
0.050000,2.023833,13.747884,2.064173,3.003608,-0.301229,-0.515067,5.941039
0.050000,2.163981,13.696211,2.213544,2.987417,-0.323810,-0.451615,5.918965
0.050000,2.302178,13.641825,2.362056,2.970259,-0.343170,-0.387213,5.897668
0.050000,2.438379,13.584911,2.509671,2.952291,-0.359352,-0.323642,5.877184
0.050000,2.572559,13.525651,2.656354,2.933668,-0.372474,-0.262432,5.857544
0.050000,2.704709,13.464228,2.802081,2.914532,-0.382715,-0.204818,5.838771
0.050000,2.834833,13.400821,2.946832,2.895017,-0.390301,-0.151729,5.820882
0.050000,2.962950,13.335602,3.090594,2.875242,-0.395491,-0.103804,5.803888
0.050000,3.089091,13.268740,3.233360,2.855314,-0.398562,-0.061410,5.787797
0.050000,3.213294,13.200394,3.375126,2.835324,-0.399796,-0.024687,5.772611
0.050000,3.335610,13.130721,3.515893,2.815351,-0.399475,0.006418,5.758330
0.050000,3.456093,13.059867,3.655666,2.795457,-0.397870,0.032105,5.744950
0.050000,3.574804,12.987972,3.794451,2.775695,-0.395236,0.052681,5.732465
0.050000,3.691810,12.915171,3.932256,2.756105,-0.391810,0.068528,5.720867
0.050000,3.807178,12.841590,4.069092,2.736714,-0.387806,0.080068,5.710147
0.050000,3.920981,12.767350,4.204969,2.717543,-0.383419,0.087743,5.700296
0.050000,4.033291,12.692566,4.339899,2.698602,-0.378820,0.091993,5.691302
0.050000,4.144181,12.617348,4.473894,2.679895,-0.374157,0.093244,5.683155
0.050000,4.253727,12.541799,4.606965,2.661417,-0.369562,0.091897,5.675846
0.050000,4.362001,12.466020,4.739123,2.643159,-0.365146,0.088324,5.669363
0.050000,4.469077,12.390107,4.870378,2.625109,-0.361003,0.082862,5.663697
0.050000,4.575025,12.314151,5.000741,2.607248,-0.357212,0.075819,5.658841
0.050000,4.679918,12.238244,5.130218,2.589556,-0.353839,0.067467,5.654785
0.050000,4.783824,12.162469,5.258819,2.572010,-0.350936,0.058049,5.651524
0.050000,4.886809,12.086913,5.386548,2.554582,-0.348547,0.047782,5.649053
0.050000,4.988939,12.011657,5.513410,2.537247,-0.346704,0.036860,5.647366
0.050000,5.090278,11.936782,5.639409,2.519976,-0.345431,0.025458,5.646461
0.050000,5.190884,11.862367,5.764546,2.502738,-0.344745,0.013736,5.646337
0.050000,5.290818,11.788492,5.888821,2.485506,-0.344652,0.001845,5.646994
0.050000,5.390134,11.715233,6.012234,2.468248,-0.345156,-0.010069,5.648432
0.050000,5.488887,11.642668,6.134781,2.450935,-0.346249,-0.021862,5.650653
0.050000,5.587127,11.570875,6.256458,2.433540,-0.347918,-0.033384,5.653663
0.050000,5.684902,11.499931,6.377259,2.416032,-0.350142,-0.044480,5.657465
0.050000,5.782258,11.429914,6.497179,2.398388,-0.352891,-0.054978,5.662066
0.050000,5.879238,11.360900,6.616208,2.380582,-0.356126,-0.064691,5.667474
0.050000,5.975881,11.292969,6.734337,2.362592,-0.359796,-0.073411,5.673696
0.050000,6.072225,11.226199,6.851557,2.344400,-0.363841,-0.080903,5.680742
0.050000,6.168305,11.160667,6.967857,2.325990,-0.368186,-0.086903,5.688621
0.050000,6.264150,11.096455,7.083224,2.307353,-0.372742,-0.091116,5.697344
0.050000,6.359791,11.033639,7.197649,2.288483,-0.377403,-0.093215,5.706922
0.050000,6.455252,10.972301,7.311118,2.269381,-0.382045,-0.092836,5.717365
0.050000,6.550556,10.912517,7.423620,2.250055,-0.386524,-0.089588,5.728683
0.050000,6.645723,10.854368,7.535146,2.230521,-0.390677,-0.083053,5.740885
0.050000,6.740770,10.797931,7.645687,2.210805,-0.394316,-0.072790,5.753980
0.050000,6.835712,10.743281,7.755234,2.190943,-0.397234,-0.058360,5.767974
0.050000,6.930561,10.690494,7.863783,2.170983,-0.399201,-0.039328,5.782872
0.050000,7.025329,10.639641,7.971332,2.150985,-0.399966,-0.015298,5.798675
0.050000,7.120023,10.590793,8.077883,2.131022,-0.399262,0.014066,5.815383
0.050000,7.214652,10.544017,8.183442,2.111181,-0.396812,0.049002,5.832988
0.050000,7.309223,10.499375,8.288021,2.091565,-0.392331,0.089615,5.851482
0.050000,7.403743,10.456926,8.391635,2.072288,-0.385540,0.135832,5.870849
0.050000,7.498220,10.416724,8.494309,2.053479,-0.376172,0.187361,5.891067
0.050000,7.592661,10.378819,8.596073,2.035280,-0.363989,0.243655,5.912109
