dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003627,11.895832,0.004808,0.192308,3.846154,76.923077,6.282214
0.050000,0.014757,11.895804,0.015937,0.222584,0.605534,-64.812395,6.279231
0.050000,0.033296,11.895685,0.034477,0.370792,2.964158,47.172469,6.274251
0.050000,0.059231,11.895363,0.060414,0.518746,2.959081,-0.101522,6.267262
0.050000,0.092543,11.894682,0.093733,0.666384,2.952743,-0.126765,6.258251
0.050000,0.133209,11.893443,0.134417,0.813681,2.945950,-0.135867,6.247202
0.050000,0.181199,11.891401,0.182451,0.960670,2.939789,-0.123213,6.234100
0.050000,0.236483,11.888265,0.237823,1.107453,2.935658,-0.082630,6.218938
0.050000,0.299027,11.883700,0.300534,1.254217,2.935281,-0.007524,6.201713
0.050000,0.368799,11.877326,0.370597,1.401253,2.940721,0.108796,6.182438
0.050000,0.445768,11.868716,0.448045,1.548971,2.954348,0.272532,6.161145
0.050000,0.529906,11.857401,0.532941,1.697910,2.978774,0.488526,6.137888
0.050000,0.621193,11.842867,0.625378,1.848746,3.016729,0.759087,6.112753
0.050000,0.715977,11.825285,0.721778,1.928006,1.585202,-28.630539,6.086854
0.050000,0.810631,11.805194,0.818542,1.935270,0.145288,-28.798276,6.061284
0.050000,0.905187,11.782602,0.915759,1.944333,0.181252,0.719284,6.036124
0.050000,0.999669,11.757523,1.013513,1.955095,0.215243,0.679816,6.011451
0.050000,1.094105,11.729973,1.111885,1.967436,0.246810,0.631342,5.987337
0.050000,1.188514,11.699974,1.210946,1.981216,0.275599,0.575789,5.963847
0.050000,1.282916,11.667553,1.310760,1.996284,0.301360,0.515223,5.941039
0.050000,1.377327,11.632741,1.411384,2.012481,0.323947,0.451727,5.918965
0.050000,1.471758,11.595576,1.512866,2.029647,0.343311,0.387278,5.897668
0.050000,1.566223,11.556099,1.615248,2.047621,0.359494,0.323666,5.877184
0.050000,1.660728,11.514358,1.718560,2.066252,0.372615,0.262419,5.857544
0.050000,1.755282,11.470407,1.822830,2.085395,0.382854,0.204772,5.838771
