dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004729,22.104166,0.004808,0.192308,3.846154,76.923077,6.283155
0.050000,0.019255,22.104165,0.019334,0.290519,1.964221,-37.638658,6.283062
0.050000,0.043471,22.104160,0.043549,0.484314,3.875910,38.233786,6.282902
0.050000,0.077385,22.104147,0.077464,0.678284,3.879403,0.069857,6.282666
0.050000,0.121010,22.104117,0.121089,0.872499,3.884298,0.097897,6.282344
0.050000,0.174362,22.104061,0.174440,1.067029,3.890600,0.126047,6.281921
0.050000,0.237459,22.103965,0.237537,1.261945,3.898318,0.154354,6.281380
0.050000,0.310325,22.103809,0.310403,1.457318,3.907462,0.182883,6.280700
0.050000,0.392985,22.103569,0.393064,1.653221,3.918048,0.211708,6.279858
0.050000,0.485471,22.103214,0.485550,1.849725,3.930094,0.240928,6.278825
0.050000,0.587815,22.102705,0.587896,2.046907,3.943627,0.270657,6.277572
0.050000,0.700055,22.101991,0.700138,2.244841,3.958678,0.301034,6.276064
0.050000,0.822231,22.101013,0.822318,2.443605,3.975290,0.332222,6.274264
0.050000,0.949490,22.099749,0.949583,2.545304,2.033969,-38.826420,6.272212
0.050000,1.076948,22.098210,1.077051,2.549358,0.081082,-39.057738,6.269977
0.050000,1.204607,22.096371,1.204723,2.553436,0.081569,0.009747,6.267557
0.050000,1.332466,22.094208,1.332600,2.557541,0.082091,0.010448,6.264952
0.050000,1.460525,22.091696,1.460684,2.561673,0.082648,0.011127,6.262159
0.050000,1.588784,22.088809,1.588975,2.565835,0.083237,0.011781,6.259178
0.050000,1.717243,22.085523,1.717477,2.570028,0.083857,0.012408,6.256006
0.050000,1.845903,22.081811,1.846189,2.574253,0.084507,0.013005,6.252644
0.050000,1.974761,22.077647,1.975115,2.578512,0.085186,0.013567,6.249089
0.050000,2.103818,22.073004,2.104255,2.582807,0.085890,0.014092,6.245339
0.050000,2.233072,22.067857,2.233612,2.587138,0.086619,0.014576,6.241393
0.050000,2.362523,22.062177,2.363188,2.591506,0.087370,0.015013,6.237249
0.050000,2.492169,22.055937,2.492983,2.595913,0.088140,0.015401,6.232906
0.050000,2.622007,22.049110,2.623001,2.600360,0.088926,0.015732,6.228361
0.050000,2.752037,22.041666,2.753244,2.604846,0.089727,0.016004,6.223613
0.050000,2.882254,22.033578,2.883712,2.609373,0.090537,0.016209,6.218660
0.050000,3.012657,22.024817,3.014409,2.613941,0.091354,0.016342,6.213501
0.050000,3.143242,22.015352,3.145337,2.618549,0.092174,0.016397,6.208132
0.050000,3.274005,22.005155,3.276497,2.623199,0.092992,0.016367,6.202553
0.050000,3.404942,21.994195,3.407891,2.627889,0.093805,0.016245,6.196762
0.050000,3.536047,21.982441,3.539522,2.632619,0.094606,0.016023,6.190756
0.050000,3.667315,21.969864,3.671391,2.637389,0.095391,0.015695,6.184535
0.050000,3.798740,21.956431,3.803501,2.642197,0.096153,0.015252,6.178095
0.050000,3.930316,21.942112,3.935853,2.647041,0.096887,0.014686,6.171437
0.050000,4.062033,21.926875,4.068449,2.651920,0.097587,0.013989,6.164557
0.050000,4.193885,21.910687,4.201291,2.656832,0.098245,0.013153,6.157455
0.050000,4.325861,21.893516,4.334380,2.661775,0.098853,0.012170,6.150129
0.050000,4.457953,21.875331,4.467717,2.666745,0.099404,0.011030,6.142578
0.050000,4.590148,21.856098,4.601304,2.671740,0.099891,0.009727,6.134801
0.050000,4.722435,21.835784,4.735142,2.676755,0.100303,0.008252,6.126797
0.050000,4.854801,21.814356,4.869231,2.681787,0.100633,0.006597,6.118564
0.050000,4.987232,21.791783,5.003573,2.686830,0.100871,0.004757,6.110104
0.050000,5.119714,21.768030,5.138167,2.691881,0.101007,0.002726,6.101414
0.050000,5.252229,21.743064,5.273013,2.696932,0.101032,0.000496,6.092496
0.050000,5.384761,21.716854,5.408112,2.701979,0.100936,-0.001934,6.083350
0.050000,5.517292,21.689367,5.543463,2.707014,0.100707,-0.004569,6.073975
0.050000,5.649800,21.660570,5.679065,2.712031,0.100337,-0.007408,6.064373
0.050000,5.782266,21.630432,5.814916,2.717022,0.099814,-0.010454,6.054545
0.050000,5.914667,21.598921,5.951015,2.721978,0.099129,-0.013701,6.044493
0.050000,6.046979,21.566007,6.087359,2.726892,0.098272,-0.017146,6.034218
0.050000,6.179178,21.531659,6.223947,2.731754,0.097232,-0.020783,6.023723
0.050000,6.311236,21.495849,6.360774,2.736554,0.096002,-0.024602,6.013010
0.050000,6.443127,21.458547,6.497839,2.741282,0.094573,-0.028591,6.002084
0.050000,6.574821,21.419727,6.635135,2.745929,0.092936,-0.032735,5.990947
0.050000,6.706288,21.379363,6.772659,2.750483,0.091085,-0.037016,5.979603
0.050000,6.837497,21.337429,6.910406,2.754934,0.089015,-0.041414,5.968059
0.050000,6.968414,21.293901,7.048369,2.759270,0.086719,-0.045905,5.956317
0.050000,7.099005,21.248759,7.186543,2.763480,0.084196,-0.050461,5.944385
0.050000,7.229236,21.201980,7.324921,2.767552,0.081444,-0.055055,5.932269
0.050000,7.359071,21.153547,7.463495,2.771475,0.078461,-0.059654,5.919975
0.050000,7.488471,21.103442,7.602257,2.775238,0.075250,-0.064222,5.907511
0.050000,7.617399,21.051651,7.741198,2.778828,0.071813,-0.068725,5.894884
0.050000,7.745815,20.998161,7.880310,2.782236,0.068157,-0.073124,5.882102
0.050000,7.873681,20.942960,8.019582,2.785451,0.064288,-0.077380,5.869175
0.050000,8.000957,20.886041,8.159006,2.788461,0.060216,-0.081453,5.856112
0.050000,8.127601,20.827398,8.298568,2.791259,0.055950,-0.085305,5.842922
0.050000,8.253573,20.767026,8.438260,2.793834,0.051506,-0.088895,5.829615
0.050000,8.378833,20.704924,8.578069,2.796179,0.046896,-0.092189,5.816203
0.050000,8.503339,20.641094,8.717983,2.798286,0.042139,-0.095150,5.802694
0.050000,8.627051,20.575539,8.857991,2.800148,0.037252,-0.097742,5.789102
0.050000,8.749928,20.508265,8.998079,2.801761,0.032254,-0.099944,5.775436
0.050000,8.871932,20.439281,9.138235,2.803120,0.027168,-0.101722,5.761709
0.050000,8.993023,20.368598,9.278446,2.804220,0.022015,-0.103062,5.747932
0.050000,9.113163,20.296229,9.418699,2.805061,0.016818,-0.103945,5.734117
0.050000,9.232316,20.222191,9.558981,2.805641,0.011600,-0.104361,5.720275
0.050000,9.350445,20.146501,9.699279,2.805960,0.006384,-0.104307,5.706419
0.050000,9.467517,20.069179,9.839580,2.806020,0.001196,-0.103778,5.692561
0.050000,9.583498,19.990249,9.979871,2.805823,-0.003944,-0.102787,5.678711
0.050000,9.698357,19.909734,10.120140,2.805373,-0.009011,-0.101341,5.664882
0.050000,9.812064,19.827660,10.260374,2.804673,-0.013984,-0.099459,5.651085
0.050000,9.924593,19.744056,10.400560,2.803731,-0.018842,-0.097162,5.637330
0.050000,10.035916,19.658951,10.540688,2.802553,-0.023566,-0.094474,5.623628
0.050000,10.146010,19.572375,10.680745,2.801146,-0.028137,-0.091428,5.609990
0.050000,10.254853,19.484361,10.820721,2.799519,-0.032540,-0.088055,5.596426
0.050000,10.362425,19.394942,10.960605,2.797681,-0.036759,-0.084388,5.582945
0.050000,10.464691,19.307628,11.095074,2.689389,-2.165850,-42.581808,5.570064
0.050000,10.557761,19.226162,11.218762,2.473754,-4.312687,-42.936746,5.558289
0.050000,10.641844,19.150878,11.331624,2.257232,-4.330451,-0.355278,5.547611
0.050000,10.717182,19.082036,11.433677,2.041074,-4.323154,0.145941,5.538013
0.050000,10.783993,19.019864,11.524942,1.825287,-4.315747,0.148144,5.529478
0.050000,10.842479,18.964559,11.605435,1.609861,-4.308510,0.144730,5.521990
0.050000,10.892815,18.916291,11.675174,1.394778,-4.301675,0.136697,5.515534
0.050000,10.935156,18.875203,11.734174,1.180006,-4.295429,0.124918,5.510095
0.050000,10.969635,18.841413,11.782450,0.965510,-4.289922,0.110148,5.505660
0.050000,10.996358,18.815017,11.820012,0.751246,-4.285270,0.093033,5.502220
0.050000,11.015411,18.796086,11.846870,0.537168,-4.281564,0.074125,5.499766
0.050000,11.026853,18.784672,11.863032,0.323225,-4.278868,0.053910,5.498291
0.050000,11.030720,18.780807,11.868500,0.109363,-4.277229,0.032791,5.497793
0.050000,11.030764,18.780764,11.868561,0.001223,-2.162803,42.288522,5.497787
0.050000,11.030764,18.780764,11.868561,0.000000,-0.024465,42.766751,5.497787
