dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004663,19.895833,0.004808,0.192308,3.846154,76.923077,6.283155
0.050000,0.018984,19.895832,0.019128,0.286404,1.881933,-39.284419,6.283062
0.050000,0.042845,19.895828,0.042989,0.477224,3.816397,38.689291,6.282902
0.050000,0.076238,19.895814,0.076383,0.667869,3.812905,-0.069857,6.282666
0.050000,0.119152,19.895785,0.119296,0.858270,3.808010,-0.097898,6.282344
0.050000,0.171570,19.895730,0.171714,1.048355,3.801707,-0.126048,6.281921
0.050000,0.233472,19.895635,0.233617,1.238055,3.793989,-0.154357,6.281380
0.050000,0.304837,19.895482,0.304981,1.427297,3.784845,-0.182887,6.280700
0.050000,0.385637,19.895248,0.385782,1.616010,3.774259,-0.211715,6.279858
0.050000,0.475842,19.894902,0.475988,1.804121,3.762212,-0.240937,6.278825
0.050000,0.575419,19.894407,0.575566,1.991555,3.748679,-0.270671,6.277572
0.050000,0.684329,19.893714,0.684477,2.178236,3.733626,-0.301055,6.276064
0.050000,0.802529,19.892768,0.802682,2.364087,3.717014,-0.332251,6.274264
0.050000,0.925258,19.891549,0.925417,2.454696,1.812181,-38.096656,6.272212
0.050000,1.047781,19.890069,1.047949,2.450641,-0.081085,-37.865313,6.269977
0.050000,1.170096,19.888308,1.170277,2.446563,-0.081573,-0.009754,6.267557
0.050000,1.292202,19.886242,1.292400,2.442458,-0.082095,-0.010454,6.264952
0.050000,1.414095,19.883851,1.414316,2.438325,-0.082652,-0.011133,6.262159
0.050000,1.535772,19.881113,1.536024,2.434163,-0.083241,-0.011787,6.259178
0.050000,1.657231,19.878005,1.657523,2.429970,-0.083862,-0.012415,6.256006
0.050000,1.778468,19.874508,1.778810,2.425745,-0.084513,-0.013011,6.252644
0.050000,1.899479,19.870597,1.899884,2.421485,-0.085191,-0.013574,6.249089
0.050000,2.020260,19.866253,2.020744,2.417190,-0.085896,-0.014099,6.245339
0.050000,2.140807,19.861452,2.141387,2.412859,-0.086625,-0.014582,6.241393
0.050000,2.261116,19.856173,2.261811,2.408490,-0.087376,-0.015021,6.237249
0.050000,2.381181,19.850395,2.382015,2.404083,-0.088147,-0.015408,6.232906
0.050000,2.500998,19.844095,2.501997,2.399636,-0.088934,-0.015740,6.228361
0.050000,2.620559,19.837251,2.621754,2.395149,-0.089734,-0.016012,6.223613
0.050000,2.739861,19.829841,2.741286,2.390622,-0.090545,-0.016218,6.218660
0.050000,2.858895,19.821843,2.860588,2.386054,-0.091363,-0.016351,6.213501
0.050000,2.977656,19.813236,2.979661,2.381445,-0.092183,-0.016406,6.208132
0.050000,3.096136,19.803997,3.098500,2.376795,-0.093002,-0.016376,6.202553
0.050000,3.214328,19.794104,3.217105,2.372104,-0.093815,-0.016254,6.196762
0.050000,3.332223,19.783535,3.335474,2.367373,-0.094616,-0.016033,6.190756
0.050000,3.449815,19.772268,3.453604,2.362603,-0.095402,-0.015704,6.184535
0.050000,3.567094,19.760281,3.571494,2.357795,-0.096165,-0.015262,6.178095
0.050000,3.684051,19.747553,3.689141,2.352950,-0.096899,-0.014696,6.171437
0.050000,3.800677,19.734062,3.806545,2.348070,-0.097599,-0.013999,6.164557
