dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004708,5.104166,0.004808,0.192308,3.846154,76.923077,6.283131
0.050000,0.019317,5.104164,0.019417,0.292181,1.997473,-36.973624,6.282963
0.050000,0.043664,5.104156,0.043764,0.486954,3.895455,37.959654,6.282682
0.050000,0.077750,5.104132,0.077850,0.681705,3.895012,-0.008872,6.282292
0.050000,0.121571,5.104082,0.121671,0.876424,3.894391,-0.012424,6.281792
0.050000,0.175126,5.103991,0.175226,1.071104,3.893591,-0.015981,6.281185
0.050000,0.238412,5.103841,0.238513,1.265734,3.892614,-0.019542,6.280472
0.050000,0.311427,5.103614,0.311528,1.460307,3.891459,-0.023109,6.279657
0.050000,0.394167,5.103284,0.394269,1.654814,3.890125,-0.026682,6.278742
0.050000,0.486628,5.102826,0.486731,1.849244,3.888612,-0.030262,6.277732
0.050000,0.588806,5.102212,0.588911,2.043590,3.886919,-0.033848,6.276628
0.050000,0.700695,5.101412,0.700803,2.237843,3.885047,-0.037441,6.275437
0.050000,0.822291,5.100392,0.822402,2.431992,3.882995,-0.041041,6.274163
0.050000,0.948724,5.099169,0.948841,2.528780,1.935748,-38.944934,6.272860
0.050000,1.075130,5.097782,1.075255,2.528278,-0.010044,-38.915847,6.271579
0.050000,1.201509,5.096236,1.201644,2.527775,-0.010049,-0.000108,6.270321
0.050000,1.327862,5.094532,1.328008,2.527272,-0.010054,-0.000101,6.269086
0.050000,1.454186,5.092674,1.454346,2.526769,-0.010059,-0.000094,6.267874
0.050000,1.580484,5.090665,1.580659,2.526266,-0.010063,-0.000088,6.266685
0.050000,1.706753,5.088507,1.706948,2.525763,-0.010067,-0.000081,6.265518
0.050000,1.832995,5.086204,1.833210,2.525259,-0.010071,-0.000075,6.264374
0.050000,1.959209,5.083758,1.959448,2.524756,-0.010075,-0.000070,6.263253
0.050000,2.085396,5.081173,2.085661,2.524252,-0.010078,-0.000064,6.262155
0.050000,2.211554,5.078452,2.211848,2.523748,-0.010081,-0.000059,6.261080
0.050000,2.337683,5.075596,2.338010,2.523244,-0.010084,-0.000054,6.260027
0.050000,2.463785,5.072610,2.464147,2.522739,-0.010086,-0.000049,6.258997
0.050000,2.589858,5.069497,2.590259,2.522235,-0.010088,-0.000045,6.257991
0.050000,2.715903,5.066258,2.716346,2.521730,-0.010090,-0.000040,6.257006
0.050000,2.841920,5.062897,2.842407,2.521226,-0.010092,-0.000036,6.256045
0.050000,2.967908,5.059418,2.968443,2.520721,-0.010094,-0.000032,6.255107
0.050000,3.093867,5.055822,3.094454,2.520216,-0.010095,-0.000029,6.254192
0.050000,3.219798,5.052114,3.220439,2.519711,-0.010096,-0.000025,6.253299
0.050000,3.345701,5.048295,3.346400,2.519207,-0.010098,-0.000022,6.252429
0.050000,3.471575,5.044368,3.472335,2.518702,-0.010099,-0.000019,6.251582
0.050000,3.597420,5.040338,3.598245,2.518197,-0.010099,-0.000016,6.250758
0.050000,3.723237,5.036206,3.724129,2.517692,-0.010100,-0.000014,6.249957
0.050000,3.849025,5.031975,3.849988,2.517187,-0.010101,-0.000011,6.249179
0.050000,3.974784,5.027649,3.975823,2.516682,-0.010101,-0.000009,6.248424
0.050000,4.100516,5.023231,4.101631,2.516176,-0.010101,-0.000007,6.247691
0.050000,4.226218,5.018722,4.227415,2.515671,-0.010102,-0.000005,6.246981
0.050000,4.351893,5.014127,4.353173,2.515166,-0.010102,-0.000003,6.246295
0.050000,4.477539,5.009447,4.478906,2.514661,-0.010102,-0.000001,6.245631
0.050000,4.603156,5.004687,4.604614,2.514156,-0.010102,0.000000,6.244990
0.050000,4.728746,4.999849,4.730297,2.513651,-0.010102,0.000002,6.244372
0.050000,4.854307,4.994935,4.855954,2.513146,-0.010102,0.000003,6.243776
0.050000,4.979840,4.989949,4.981586,2.512641,-0.010101,0.000004,6.243204
0.050000,5.105345,4.984894,5.107193,2.512136,-0.010101,0.000005,6.242654
0.050000,5.230822,4.979772,5.232774,2.511631,-0.010101,0.000006,6.242128
0.050000,5.356271,4.974587,5.358331,2.511126,-0.010101,0.000006,6.241624
0.050000,5.481693,4.969340,5.483862,2.510621,-0.010100,0.000007,6.241143
0.050000,5.607086,4.964036,5.609367,2.510116,-0.010100,0.000007,6.240685
0.050000,5.732452,4.958678,5.734848,2.509611,-0.010099,0.000008,6.240250
0.050000,5.857791,4.953267,5.860303,2.509106,-0.010099,0.000008,6.239837
0.050000,5.983102,4.947807,5.985733,2.508601,-0.010099,0.000008,6.239448
0.050000,6.108386,4.942300,6.111138,2.508096,-0.010098,0.000008,6.239081
0.050000,6.233643,4.936750,6.236518,2.507591,-0.010098,0.000008,6.238737
0.050000,6.358872,4.931160,6.361872,2.507086,-0.010097,0.000008,6.238416
0.050000,6.484075,4.925532,6.487201,2.506581,-0.010097,0.000008,6.238118
0.050000,6.609251,4.919870,6.612505,2.506077,-0.010097,0.000007,6.237843
0.050000,6.734400,4.914175,6.737784,2.505572,-0.010096,0.000007,6.237591
0.050000,6.859522,4.908452,6.863037,2.505067,-0.010096,0.000007,6.237362
0.050000,6.984618,4.902702,6.988265,2.504562,-0.010096,0.000006,6.237155
0.050000,7.109688,4.896929,7.113468,2.504057,-0.010095,0.000006,6.236971
0.050000,7.234731,4.891136,7.238645,2.503553,-0.010095,0.000005,6.236810
0.050000,7.359749,4.885325,7.363798,2.503048,-0.010095,0.000005,6.236672
0.050000,7.484740,4.879500,7.488925,2.502543,-0.010095,0.000004,6.236557
0.050000,7.609706,4.873663,7.614027,2.502038,-0.010095,0.000003,6.236465
0.050000,7.734646,4.867817,7.739104,2.501534,-0.010094,0.000003,6.236395
0.050000,7.859560,4.861965,7.864155,2.501029,-0.010094,0.000002,6.236349
0.050000,7.984450,4.856109,7.989181,2.500524,-0.010094,0.000001,6.236325
0.050000,8.109313,4.850254,8.114182,2.500020,-0.010094,0.000001,6.236324
0.050000,8.234152,4.844400,8.239158,2.499515,-0.010094,-0.000000,6.236346
0.050000,8.358965,4.838552,8.364109,2.499010,-0.010094,-0.000001,6.236391
0.050000,8.483754,4.832713,8.489034,2.498505,-0.010094,-0.000001,6.236459
0.050000,8.608518,4.826884,8.613934,2.498001,-0.010094,-0.000002,6.236549
0.050000,8.733257,4.821069,8.738809,2.497496,-0.010095,-0.000003,6.236663
0.050000,8.857972,4.815271,8.863658,2.496991,-0.010095,-0.000004,6.236799
0.050000,8.982663,4.809493,8.988483,2.496487,-0.010095,-0.000004,6.236958
0.050000,9.107329,4.803737,9.113282,2.495982,-0.010095,-0.000005,6.237140
0.050000,9.231971,4.798006,9.238055,2.495477,-0.010095,-0.000005,6.237345
0.050000,9.356589,4.792304,9.362804,2.494972,-0.010096,-0.000006,6.237572
0.050000,9.481184,4.786632,9.487527,2.494467,-0.010096,-0.000006,6.237823
0.050000,9.605754,4.780994,9.612226,2.493963,-0.010096,-0.000007,6.238096
0.050000,9.730301,4.775393,9.736898,2.493458,-0.010097,-0.000007,6.238393
0.050000,9.854825,4.769831,9.861546,2.492953,-0.010097,-0.000008,6.238712
0.050000,9.979325,4.764312,9.986169,2.492448,-0.010097,-0.000008,6.239054
0.050000,10.103802,4.758837,10.110766,2.491943,-0.010098,-0.000008,6.239418
0.050000,10.228256,4.753411,10.235338,2.491438,-0.010098,-0.000008,6.239806
0.050000,10.352686,4.748035,10.359884,2.490933,-0.010099,-0.000008,6.240217
0.050000,10.477094,4.742713,10.484406,2.490428,-0.010099,-0.000008,6.240650
0.050000,10.601479,4.737447,10.608902,2.489923,-0.010100,-0.000008,6.241106
0.050000,10.725841,4.732241,10.733373,2.489418,-0.010100,-0.000008,6.241586
0.050000,10.850180,4.727096,10.857818,2.488913,-0.010100,-0.000007,6.242088
0.050000,10.974496,4.722017,10.982239,2.488408,-0.010101,-0.000007,6.242613
0.050000,11.098791,4.717005,11.106634,2.487903,-0.010101,-0.000006,6.243160
0.050000,11.223062,4.712063,11.231004,2.487398,-0.010101,-0.000006,6.243731
0.050000,11.347312,4.707195,11.355349,2.486893,-0.010101,-0.000005,6.244325
0.050000,11.471539,4.702403,11.479668,2.486388,-0.010102,-0.000004,6.244941
0.050000,11.595743,4.697691,11.603962,2.485883,-0.010102,-0.000003,6.245580
0.050000,11.719926,4.693059,11.728231,2.485378,-0.010102,-0.000002,6.246242
0.050000,11.844086,4.688513,11.852475,2.484873,-0.010102,-0.000000,6.246927
0.050000,11.968225,4.684054,11.976693,2.484368,-0.010102,0.000001,6.247635
0.050000,12.092341,4.679685,12.100886,2.483863,-0.010102,0.000003,6.248366
0.050000,12.216435,4.675408,12.225054,2.483358,-0.010101,0.000004,6.249120
0.050000,12.340507,4.671228,12.349197,2.482852,-0.010101,0.000006,6.249896
0.050000,12.464558,4.667147,12.473314,2.482347,-0.010101,0.000009,6.250695
0.050000,12.588586,4.663166,12.597406,2.481842,-0.010100,0.000011,6.251518
0.050000,12.712592,4.659290,12.721473,2.481337,-0.010100,0.000013,6.252363
0.050000,12.836577,4.655521,12.845515,2.480832,-0.010099,0.000016,6.253231
0.050000,12.960539,4.651862,12.969531,2.480328,-0.010098,0.000019,6.254122
0.050000,13.084479,4.648315,13.093522,2.479823,-0.010097,0.000022,6.255035
0.050000,13.208398,4.644884,13.217488,2.479318,-0.010095,0.000025,6.255972
0.050000,13.332294,4.641570,13.341429,2.478813,-0.010094,0.000028,6.256931
0.050000,13.456168,4.638378,13.465344,2.478309,-0.010092,0.000032,6.257913
0.050000,13.580021,4.635309,13.589234,2.477804,-0.010091,0.000036,6.258918
0.050000,13.703851,4.632367,13.713099,2.477300,-0.010089,0.000040,6.259946
0.050000,13.827659,4.629554,13.836939,2.476795,-0.010086,0.000044,6.260997
0.050000,13.951444,4.626874,13.960754,2.476291,-0.010084,0.000049,6.262071
0.050000,14.075207,4.624328,14.084543,2.475787,-0.010081,0.000054,6.263167
0.050000,14.198948,4.621919,14.208307,2.475283,-0.010078,0.000059,6.264286
0.050000,14.322666,4.619651,14.332046,2.474779,-0.010075,0.000064,6.265429
0.050000,14.446362,4.617527,14.455760,2.474276,-0.010072,0.000069,6.266593
0.050000,14.570034,4.615548,14.579449,2.473772,-0.010068,0.000075,6.267781
0.050000,14.693684,4.613717,14.703112,2.473269,-0.010064,0.000081,6.268991
0.050000,14.817311,4.612038,14.826750,2.472766,-0.010060,0.000087,6.270225
0.050000,14.940915,4.610514,14.950364,2.472264,-0.010055,0.000094,6.271481
0.050000,15.064496,4.609146,15.073952,2.471761,-0.010050,0.000100,6.272759
0.050000,15.188053,4.607938,15.197514,2.471259,-0.010045,0.000107,6.274061
0.050000,15.311586,4.606892,15.321052,2.470757,-0.010039,0.000115,6.275385
0.050000,15.435096,4.606012,15.444565,2.470255,-0.010033,0.000122,6.276732
0.050000,15.558581,4.605299,15.568053,2.469754,-0.010026,0.000130,6.278102
0.050000,15.682043,4.604757,15.691515,2.469253,-0.010019,0.000138,6.279494
0.050000,15.805480,4.604389,15.814953,2.468752,-0.010012,0.000147,6.280909
0.050000,15.928892,4.604196,15.938366,2.468252,-0.010004,0.000155,6.282347
0.050000,16.054049,4.604138,16.063522,2.503130,0.697560,14.151292,6.282128
0.050000,16.181562,4.603855,16.191036,2.550281,0.943011,4.909004,6.279851
0.050000,16.308733,4.603302,16.318208,2.543427,-0.137079,-21.601794,6.277885
0.050000,16.435560,4.602522,16.445037,2.536593,-0.136671,0.008153,6.276228
0.050000,16.562045,4.601553,16.571526,2.529777,-0.136322,0.006988,6.274880
0.050000,16.688189,4.600437,16.697675,2.522975,-0.136034,0.005765,6.273839
