dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004588,2.895833,0.004808,0.192308,3.846154,76.923077,6.283131
0.050000,0.018825,2.895831,0.019045,0.284742,1.848681,-39.949453,6.282963
0.050000,0.042554,2.895823,0.042774,0.474584,3.796852,38.963422,6.282682
0.050000,0.075776,2.895800,0.075996,0.664449,3.797296,0.008870,6.282292
0.050000,0.118494,2.895751,0.118714,0.854345,3.797917,0.012423,6.281792
0.050000,0.170707,2.895662,0.170928,1.044281,3.798716,0.015979,6.281185
0.050000,0.232421,2.895517,0.232641,1.234265,3.799693,0.019540,6.280472
0.050000,0.303636,2.895294,0.303856,1.424308,3.800848,0.023107,6.279657
0.050000,0.384356,2.894973,0.384577,1.614417,3.802182,0.026679,6.278742
0.050000,0.474585,2.894526,0.474807,1.804602,3.803695,0.030259,6.277732
0.050000,0.574327,2.893927,0.574551,1.994871,3.805387,0.033845,6.276628
0.050000,0.683585,2.893145,0.683813,2.185234,3.807259,0.037438,6.275437
0.050000,0.802366,2.892149,0.802598,2.375700,3.809311,0.041038,6.274163
0.050000,0.925921,2.890953,0.926159,2.471220,1.910405,-37.978129,6.272860
0.050000,1.049500,2.889598,1.049745,2.471722,0.010044,-38.007214,6.271579
0.050000,1.173102,2.888085,1.173356,2.472225,0.010049,0.000108,6.270321
0.050000,1.296727,2.886418,1.296992,2.472727,0.010055,0.000101,6.269086
0.050000,1.420375,2.884600,1.420654,2.473230,0.010059,0.000094,6.267874
0.050000,1.544046,2.882632,1.544340,2.473733,0.010064,0.000088,6.266685
0.050000,1.667740,2.880519,1.668052,2.474237,0.010068,0.000081,6.265518
0.050000,1.791457,2.878262,1.791789,2.474740,0.010071,0.000075,6.264374
0.050000,1.915196,2.875864,1.915552,2.475244,0.010075,0.000070,6.263253
0.050000,2.038957,2.873329,2.039339,2.475748,0.010078,0.000064,6.262155
0.050000,2.162741,2.870658,2.163152,2.476252,0.010081,0.000059,6.261080
0.050000,2.286547,2.867856,2.286989,2.476756,0.010084,0.000054,6.260027
0.050000,2.410375,2.864923,2.410852,2.477261,0.010086,0.000049,6.258997
0.050000,2.534226,2.861864,2.534741,2.477765,0.010088,0.000045,6.257991
0.050000,2.658098,2.858682,2.658654,2.478270,0.010090,0.000040,6.257006
0.050000,2.781993,2.855378,2.782593,2.478774,0.010092,0.000036,6.256045
0.050000,2.905910,2.851955,2.906557,2.479279,0.010094,0.000032,6.255107
0.050000,3.029848,2.848417,3.030546,2.479784,0.010095,0.000029,6.254192
0.050000,3.153809,2.844767,3.154560,2.480288,0.010097,0.000025,6.253299
0.050000,3.277792,2.841006,3.278600,2.480793,0.010098,0.000022,6.252429
0.050000,3.401796,2.837138,3.402665,2.481298,0.010099,0.000019,6.251582
0.050000,3.525823,2.833166,3.526755,2.481803,0.010099,0.000016,6.250758
0.050000,3.649871,2.829092,3.650871,2.482308,0.010100,0.000014,6.249957
0.050000,3.773942,2.824919,3.775011,2.482813,0.010101,0.000011,6.249179
0.050000,3.898034,2.820650,3.899177,2.483318,0.010101,0.000009,6.248424
0.050000,4.022149,2.816289,4.023368,2.483823,0.010101,0.000007,6.247691
0.050000,4.146286,2.811836,4.147585,2.484328,0.010102,0.000005,6.246981
