dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004628,5.104166,0.004808,0.192308,3.846154,76.923077,0.000000
0.050000,0.019051,5.104166,0.019231,0.288462,1.923077,-38.461538,0.000000
0.050000,0.043089,5.104166,0.043269,0.480769,3.846154,38.461538,0.000000
0.050000,0.076743,5.104166,0.076923,0.673077,3.846154,0.000000,0.000000
0.050000,0.120012,5.104166,0.120192,0.865385,3.846154,0.000000,0.000000
0.050000,0.172897,5.104166,0.173077,1.057692,3.846154,-0.000000,0.000000
0.050000,0.235397,5.104166,0.235577,1.250000,3.846154,-0.000000,0.000000
0.050000,0.307512,5.104166,0.307692,1.442308,3.846154,0.000000,0.000000
0.050000,0.389243,5.104166,0.389423,1.634615,3.846154,-0.000000,0.000000
0.050000,0.480589,5.104166,0.480769,1.826923,3.846154,0.000000,0.000000
0.050000,0.581551,5.104166,0.581731,2.019231,3.846154,-0.000000,0.000000
0.050000,0.692128,5.104166,0.692308,2.211538,3.846154,-0.000000,0.000000
0.050000,0.812320,5.104166,0.812500,2.403846,3.846154,0.000000,0.000000
0.050000,0.937320,5.104166,0.937500,2.500000,1.923077,-38.461538,0.000000
0.050000,1.062320,5.104166,1.062500,2.500000,-0.000000,-38.461538,0.000000
0.050000,1.187320,5.104166,1.187500,2.500000,0.000000,0.000000,0.000000
0.050000,1.312320,5.104166,1.312500,2.500000,0.000000,-0.000000,0.000000
0.050000,1.437320,5.104166,1.437500,2.500000,-0.000000,-0.000000,0.000000
0.050000,1.562320,5.104166,1.562500,2.500000,0.000000,0.000000,0.000000
0.050000,1.687320,5.104166,1.687500,2.500000,0.000000,-0.000000,0.000000
0.050000,1.812320,5.104166,1.812500,2.500000,-0.000000,-0.000000,0.000000
0.050000,1.937320,5.104166,1.937500,2.500000,0.000000,0.000000,0.000000
0.050000,2.062320,5.104166,2.062500,2.500000,0.000000,0.000000,0.000000
0.050000,2.187320,5.104166,2.187500,2.500000,0.000000,0.000000,0.000000
0.050000,2.312320,5.104166,2.312500,2.500000,-0.000000,-0.000000,0.000000
0.050000,2.437320,5.104166,2.437500,2.500000,-0.000000,0.000000,0.000000
0.050000,2.562320,5.104166,2.562500,2.500000,-0.000000,0.000000,0.000000
0.050000,2.687320,5.104166,2.687500,2.500000,0.000000,0.000000,0.000000
0.050000,2.812320,5.104166,2.812500,2.500000,-0.000000,-0.000000,0.000000
0.050000,2.937320,5.104166,2.937500,2.500000,0.000000,0.000000,0.000000
0.050000,3.062320,5.104166,3.062500,2.500000,0.000000,-0.000000,0.000000
0.050000,3.187320,5.104166,3.187500,2.500000,-0.000000,-0.000000,0.000000
0.050000,3.312320,5.104166,3.312500,2.500000,0.000000,0.000000,0.000000
0.050000,3.437320,5.104166,3.437500,2.500000,-0.000000,-0.000000,0.000000
0.050000,3.562320,5.104166,3.562500,2.500000,0.000000,0.000000,0.000000
0.050000,3.687320,5.104166,3.687500,2.500000,-0.000000,-0.000000,0.000000
0.050000,3.812320,5.104166,3.812500,2.500000,0.000000,0.000000,0.000000
0.050000,3.937320,5.104166,3.937500,2.500000,0.000000,-0.000000,0.000000
0.050000,4.062320,5.104166,4.062500,2.500000,0.000000,0.000000,0.000000
0.050000,4.187320,5.104166,4.187500,2.500000,-0.000000,-0.000000,0.000000
