dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004778,7.104166,0.004808,0.192308,3.846154,76.923077,6.283118
0.050000,0.019425,7.104164,0.019455,0.292940,2.012643,-36.670225,6.282916
0.050000,0.043827,7.104153,0.043857,0.488053,3.902264,37.792433,6.282586
0.050000,0.077972,7.104125,0.078002,0.682897,3.896870,-0.107876,6.282141
0.050000,0.121840,7.104067,0.121870,0.877363,3.889331,-0.150787,6.281599
0.050000,0.175407,7.103966,0.175438,1.071346,3.879657,-0.193482,6.280980
0.050000,0.238644,7.103805,0.238675,1.264739,3.867860,-0.235937,6.280313
0.050000,0.311516,7.103570,0.311546,1.457437,3.853952,-0.278155,6.279628
0.050000,0.393982,7.103248,0.394013,1.649334,3.837944,-0.320173,6.278961
0.050000,0.485997,7.102830,0.486029,1.840326,3.819840,-0.362068,6.278354
0.050000,0.587511,7.102313,0.587545,2.030308,3.799642,-0.403966,6.277853
0.050000,0.698468,7.101700,0.698504,2.219175,3.777340,-0.446050,6.277507
0.050000,0.818807,7.101006,0.818845,2.406820,3.752912,-0.488560,6.277372
0.050000,0.943666,7.100286,0.943705,2.497210,1.807787,-38.902492,6.277499
0.050000,1.068224,7.099599,1.068265,2.491209,-0.120017,-38.556080,6.277897
0.050000,1.192483,7.098981,1.192526,2.485202,-0.120143,-0.002510,6.278567
0.050000,1.316441,7.098464,1.316485,2.479184,-0.120353,-0.004211,6.279510
0.050000,1.440098,7.098082,1.440142,2.473152,-0.120648,-0.005899,6.280725
0.050000,1.563453,7.097867,1.563497,2.467100,-0.121027,-0.007569,6.282215
0.050000,1.686504,7.097854,1.686549,2.461026,-0.121487,-0.009215,0.000795
0.050000,1.809250,7.098074,1.809295,2.454925,-0.122029,-0.010831,0.002836
0.050000,1.931689,7.098560,1.931735,2.448792,-0.122649,-0.012411,0.005155
0.050000,2.053817,7.099345,2.053866,2.442625,-0.123347,-0.013948,0.007753
0.050000,2.175633,7.100462,2.175687,2.436419,-0.124118,-0.015433,0.010632
0.050000,2.297133,7.101943,2.297195,2.430171,-0.124961,-0.016860,0.013794
0.050000,2.418312,7.103820,2.418389,2.423877,-0.125872,-0.018219,0.017241
0.050000,2.539167,7.106127,2.539266,2.417535,-0.126847,-0.019500,0.020975
0.050000,2.659692,7.108895,2.659823,2.411141,-0.127882,-0.020692,0.024999
0.050000,2.779882,7.112157,2.780057,2.404692,-0.128971,-0.021785,0.029314
0.050000,2.899732,7.115944,2.899967,2.398187,-0.130110,-0.022765,0.033925
0.050000,3.019234,7.120291,3.019548,2.391622,-0.131291,-0.023620,0.038832
0.050000,3.138382,7.125227,3.138798,2.384997,-0.132507,-0.024333,0.044040
0.050000,3.257167,7.130787,3.257713,2.378309,-0.133752,-0.024890,0.049550
0.050000,3.375582,7.137001,3.376291,2.371558,-0.135015,-0.025273,0.055366
0.050000,3.493618,7.143902,3.494528,2.364744,-0.136289,-0.025463,0.061491
0.050000,3.611264,7.151523,3.612422,2.357866,-0.137561,-0.025443,0.067927
0.050000,3.728512,7.159894,3.729968,2.350925,-0.138820,-0.025189,0.074677
0.050000,3.845350,7.169047,3.847164,2.343922,-0.140054,-0.024682,0.081745
0.050000,3.961767,7.179014,3.964007,2.336860,-0.141249,-0.023898,0.089132
0.050000,4.077751,7.189827,4.080494,2.329740,-0.142390,-0.022814,0.096842
0.050000,4.193290,7.201517,4.196622,2.322567,-0.143460,-0.021406,0.104876
0.050000,4.308370,7.214113,4.312390,2.315345,-0.144443,-0.019650,0.113238
0.050000,4.422977,7.227648,4.427794,2.308079,-0.145319,-0.017522,0.121928
0.050000,4.537098,7.242151,4.542832,2.300776,-0.146069,-0.014998,0.130949
