dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004630,4.895833,0.004808,0.192308,3.846154,76.923077,6.283118
0.050000,0.018829,4.895831,0.019007,0.283983,1.833511,-40.252852,6.282916
0.050000,0.042503,4.895821,0.042681,0.473485,3.790043,39.130643,6.282586
0.050000,0.075666,4.895793,0.075844,0.663257,3.795437,0.107875,6.282141
0.050000,0.118336,4.895737,0.118514,0.853406,3.802976,0.150785,6.281599
0.050000,0.170538,4.895638,0.170716,1.044039,3.812650,0.193481,6.280980
0.050000,0.232301,4.895481,0.232479,1.235261,3.824447,0.235937,6.280313
0.050000,0.303660,4.895251,0.303838,1.427179,3.838355,0.278156,6.279628
0.050000,0.384654,4.894935,0.384833,1.619897,3.854364,0.320175,6.278961
0.050000,0.475329,4.894523,0.475509,1.813520,3.872467,0.362071,6.278354
0.050000,0.575735,4.894012,0.575917,2.008154,3.892666,0.403970,6.277853
0.050000,0.685929,4.893403,0.686112,2.203902,3.914969,0.446053,6.277507
0.050000,0.805970,4.892711,0.806155,2.400872,3.939397,0.488559,6.277372
0.050000,0.931108,4.891988,0.931295,2.502790,2.038367,-38.020592,6.277499
0.050000,1.056545,4.891297,1.056735,2.508791,0.120016,-38.367009,6.277897
0.050000,1.182284,4.890671,1.182474,2.514798,0.120141,0.002498,6.278567
0.050000,1.308324,4.890146,1.308515,2.520816,0.120351,0.004199,6.279510
0.050000,1.434665,4.889755,1.434858,2.526848,0.120646,0.005887,6.280725
0.050000,1.561310,4.889535,1.561503,2.532899,0.121023,0.007556,6.282215
0.050000,1.688259,4.889521,1.688451,2.538973,0.121484,0.009202,0.000795
0.050000,1.815512,4.889749,1.815705,2.545075,0.122024,0.010818,0.002836
0.050000,1.943072,4.890256,1.943265,2.551207,0.122644,0.012398,0.005155
0.050000,2.070938,4.891078,2.071134,2.557374,0.123341,0.013934,0.007753
0.050000,2.199111,4.892254,2.199313,2.563579,0.124112,0.015419,0.010632
0.050000,2.327593,4.893820,2.327804,2.569827,0.124954,0.016846,0.013794
0.050000,2.456384,4.895816,2.456610,2.576120,0.125865,0.018204,0.017241
0.050000,2.585483,4.898280,2.585733,2.582462,0.126839,0.019485,0.020975
0.050000,2.714892,4.901252,2.715176,2.588856,0.127873,0.020677,0.024999
0.050000,2.844609,4.904772,2.844941,2.595304,0.128961,0.021769,0.029314
0.050000,2.974635,4.908882,2.975032,2.601809,0.130099,0.022749,0.033925
0.050000,3.104967,4.913622,3.105451,2.608373,0.131279,0.023603,0.038832
0.050000,3.235605,4.919036,3.236200,2.614998,0.132495,0.024316,0.044040
0.050000,3.366546,4.925164,3.367285,2.621684,0.133738,0.024873,0.049550
0.050000,3.497787,4.932052,3.498706,2.628435,0.135001,0.025255,0.055366
0.050000,3.629325,4.939743,3.630469,2.635248,0.136273,0.025445,0.061491
0.050000,3.761155,4.948282,3.762575,2.642125,0.137544,0.025423,0.067927
0.050000,3.893272,4.957715,3.895028,2.649066,0.138803,0.025170,0.074677
0.050000,4.025669,4.968088,4.027832,2.656067,0.140036,0.024662,0.081745
0.050000,4.158340,4.979448,4.160988,2.663129,0.141230,0.023877,0.089132
0.050000,4.291276,4.991841,4.294500,2.670247,0.142369,0.022794,0.096842
0.050000,4.424467,5.005317,4.428371,2.677419,0.143439,0.021385,0.104876
0.050000,4.557902,5.019924,4.562603,2.684640,0.144420,0.019629,0.113238
0.050000,4.691568,5.035710,4.697199,2.691905,0.145295,0.017502,0.121928
0.050000,4.825452,5.052725,4.832159,2.699207,0.146044,0.014977,0.130949
0.050000,4.959537,5.071019,4.967486,2.706539,0.146646,0.012035,0.140302
0.050000,5.093805,5.090642,5.103181,2.713893,0.147078,0.008651,0.149989
0.050000,5.228237,5.111644,5.239244,2.721259,0.147319,0.004808,0.160008
0.050000,5.362812,5.134075,5.375675,2.728627,0.147343,0.000489,0.170362
0.050000,5.497506,5.157984,5.512474,2.735983,0.147127,-0.004320,0.181048
0.050000,5.632292,5.183422,5.649640,2.743315,0.146646,-0.009628,0.192067
0.050000,5.767143,5.210437,5.787170,2.750609,0.145874,-0.015438,0.203416
0.050000,5.902028,5.239078,5.925063,2.757848,0.144786,-0.021749,0.215093
0.050000,6.036914,5.269393,6.063314,2.765016,0.143359,-0.028551,0.227094
0.050000,6.171766,5.301428,6.201918,2.772094,0.141567,-0.035828,0.239416
0.050000,6.306546,5.335228,6.340871,2.779064,0.139390,-0.043554,0.252054
0.050000,6.441213,5.370837,6.480167,2.785904,0.136805,-0.051694,0.265002
0.050000,6.575724,5.408296,6.619796,2.792594,0.133795,-0.060205,0.278252
0.050000,6.710034,5.447646,6.759752,2.799111,0.130343,-0.069030,0.291798
0.050000,6.844095,5.488924,6.900024,2.805433,0.126438,-0.078106,0.305630
0.050000,6.977856,5.532165,7.040600,2.811537,0.122070,-0.087356,0.319738
0.050000,7.111265,5.577400,7.181470,2.817398,0.117235,-0.096696,0.334112
0.050000,7.244269,5.624659,7.322620,2.822995,0.111934,-0.106032,0.348739
0.050000,7.376809,5.673967,7.464035,2.828304,0.106171,-0.115261,0.363607
0.050000,7.508829,5.725345,7.605700,2.833301,0.099957,-0.124275,0.378701
0.050000,7.640269,5.778812,7.747599,2.837967,0.093309,-0.132962,0.394007
0.050000,7.771068,5.834382,7.889713,2.842279,0.086249,-0.141206,0.409507
0.050000,7.901164,5.892064,8.032024,2.846219,0.078804,-0.148893,0.425186
0.050000,8.030497,5.951864,8.174512,2.849770,0.071008,-0.155911,0.441026
0.050000,8.159004,6.013783,8.317158,2.852915,0.062901,-0.162154,0.457009
